embryonic_score,celltype,condition,celltype_short
-0.07322840579165801,Fibroblast 2,Control,FIB2
-0.027602187888865055,Fibroblast 2,Control,FIB2
-0.10698450709821544,Fibroblast 2,Control,FIB2
-0.12628738292993547,Fibroblast 3,Control,FIB3
-0.08217371285908197,Fibroblast 2,Control,FIB2
-0.0607019758637103,Fibroblast 1,Control,FIB1
-0.06302900075852345,Fibroblast 3,Control,FIB3
-0.0777108907956885,Fibroblast 3,Control,FIB3
-0.08317806734771722,Fibroblast 2,Control,FIB2
-0.05683774792053151,Fibroblast 3,Control,FIB3
0.010921725466890624,Fibroblast 3,Control,FIB3
-0.1531548174656789,Fibroblast 3,Control,FIB3
0.03102266944889037,Fibroblast 3,Control,FIB3
-0.07191215285734018,Fibroblast 2,Control,FIB2
-0.017213585441959767,Fibroblast 2,Control,FIB2
-0.042805821853260706,Fibroblast 1,Control,FIB1
-0.016515586978252096,Fibroblast 3,Control,FIB3
-0.056652253066578326,Fibroblast 1,Control,FIB1
-0.03350312741692441,Fibroblast 3,Control,FIB3
-0.0892759680969932,Fibroblast 3,Control,FIB3
-0.10597819536258421,Fibroblast 3,Control,FIB3
-0.1208444615335757,Fibroblast 2,Control,FIB2
0.029734885728269253,Fibroblast 1,Control,FIB1
0.07987092779230187,Fibroblast 1,Control,FIB1
-0.0239940610790585,Fibroblast 1,Control,FIB1
-0.11936338726015228,Fibroblast 3,Control,FIB3
-0.12598550038246376,Fibroblast 2,Control,FIB2
-0.1122830087464571,Fibroblast 2,Control,FIB2
-0.15972891543653026,Fibroblast 2,Control,FIB2
-0.04212311412260034,Fibroblast 2,Control,FIB2
-0.10021868759864255,Fibroblast 2,Control,FIB2
-0.10443321166007288,Fibroblast 2,Control,FIB2
-0.006378863857011072,Fibroblast 3,Control,FIB3
-0.13754601264528327,Fibroblast 2,Control,FIB2
-0.07407992479392514,Fibroblast 2,Control,FIB2
-0.1393699440985767,Fibroblast 2,Control,FIB2
-0.15268979717266354,Fibroblast 2,Control,FIB2
-0.14364202658343928,Fibroblast 2,Control,FIB2
-0.1176206272313659,Fibroblast 2,Control,FIB2
-0.14258782993306332,Fibroblast 3,Control,FIB3
-0.021699236965768184,Fibroblast 1,Control,FIB1
-0.01088617308438182,Fibroblast 2,Control,FIB2
-0.13082112876968963,Fibroblast 3,Control,FIB3
0.1402586154811902,Fibroblast 1,Control,FIB1
-0.1441026014077746,Fibroblast 2,Control,FIB2
-0.04338270255565849,Fibroblast 3,Control,FIB3
0.056044524793416955,Fibroblast 1,Control,FIB1
-0.009272269436020254,Fibroblast 2,Control,FIB2
-0.13719764923254257,Fibroblast 2,Control,FIB2
