embryonic_score,celltype,condition,celltype_short
-0.0037723263502003456,Fibroblast 2,Control,FIB2
-0.10048196008581749,Fibroblast 2,Control,FIB2
-0.08529050308452363,Fibroblast 2,Control,FIB2
-0.14544818322071915,Fibroblast 3,Control,FIB3
-0.22024154635721935,Fibroblast 2,Control,FIB2
-0.046861973608823757,Fibroblast 1,Control,FIB1
-0.08026935800429769,Fibroblast 3,Control,FIB3
-0.0671660281241938,Fibroblast 3,Control,FIB3
-0.11148617426756219,Fibroblast 2,Control,FIB2
-0.01630209131152971,Fibroblast 3,Control,FIB3
-0.07644163455544421,Fibroblast 3,Control,FIB3
-0.0556877366326298,Fibroblast 3,Control,FIB3
0.02186877347749573,Fibroblast 3,Control,FIB3
-0.11248694806773499,Fibroblast 2,Control,FIB2
-0.05729480290090112,Fibroblast 2,Control,FIB2
-0.045657681512668975,Fibroblast 1,Control,FIB1
-0.0242127963229903,Fibroblast 3,Control,FIB3
0.004891805921663092,Fibroblast 1,Control,FIB1
-0.052712668374447796,Fibroblast 3,Control,FIB3
-0.040436236354205464,Fibroblast 3,Control,FIB3
-0.13160082044088076,Fibroblast 3,Control,FIB3
-0.11138920605209676,Fibroblast 2,Control,FIB2
-0.02348700180561509,Fibroblast 1,Control,FIB1
-0.08774618013973742,Fibroblast 1,Control,FIB1
-0.02133914643214327,Fibroblast 1,Control,FIB1
-0.11289347411727843,Fibroblast 3,Control,FIB3
-0.1584312648778119,Fibroblast 2,Control,FIB2
-0.09379749761480895,Fibroblast 2,Control,FIB2
-0.05069381166104068,Fibroblast 2,Control,FIB2
-0.12650535791074374,Fibroblast 2,Control,FIB2
-0.06702837458262724,Fibroblast 2,Control,FIB2
-0.12318027290846674,Fibroblast 2,Control,FIB2
-0.16360533341652336,Fibroblast 3,Control,FIB3
-0.09852956062763545,Fibroblast 2,Control,FIB2
-0.03770616878376271,Fibroblast 2,Control,FIB2
-0.13628401754385402,Fibroblast 2,Control,FIB2
-0.16777690395018377,Fibroblast 2,Control,FIB2
-0.21148518205802835,Fibroblast 2,Control,FIB2
-0.14373604103473864,Fibroblast 2,Control,FIB2
-0.05501699011128646,Fibroblast 3,Control,FIB3
-0.17361238683848607,Fibroblast 1,Control,FIB1
-0.13103283004510446,Fibroblast 2,Control,FIB2
-0.024928772794515483,Fibroblast 3,Control,FIB3
-0.022403553596245948,Fibroblast 1,Control,FIB1
-0.11442400623052096,Fibroblast 2,Control,FIB2
-0.005610418106994287,Fibroblast 3,Control,FIB3
0.004432236057293277,Fibroblast 1,Control,FIB1
-0.23282712522730922,Fibroblast 2,Control,FIB2
-0.09638905653547102,Fibroblast 2,Control,FIB2
-0.06465327147801632,Fibroblast 2,Control,FIB2
-0.013778266689015196,Fibroblast 3,Control,FIB3
-0.21438230049319326,Fibroblast 2,Control,FIB2
-0.10326777938678192,Fibroblast 1,Control,FIB1
0.0014455042760417001,Fibroblast 1,Control,FIB1
-0.06521995153621497,Fibroblast 2,Control,FIB2
-0.13467149327510058,Fibroblast 2,Control,FIB2
0.004214940877425641,Fibroblast 2,Control,FIB2
-0.1463146131383674,Fibroblast 2,Control,FIB2
-0.0009911872292488744,Fibroblast 3,Control,FIB3
-0.22036144103827504,Fibroblast 2,Control,FIB2
-0.058782944054347835,Fibroblast 3,Control,FIB3
-0.11947916698574101,Fibroblast 3,Control,FIB3
0.010670823888747462,Fibroblast 3,Control,FIB3
-0.114115924145847,Fibroblast 3,Control,FIB3
-0.12249564629329204,Fibroblast 2,Control,FIB2
-0.06520403433595497,Fibroblast 1,Control,FIB1
-0.11881199852410179,Fibroblast 2,Control,FIB2
0.034387887893011934,Fibroblast 1,Control,FIB1
-0.12458305440323104,Fibroblast 2,Control,FIB2
0.0738718750759813,Fibroblast 1,Control,FIB1
-0.07753606448333279,Fibroblast 1,Control,FIB1
-0.1440894809659366,Fibroblast 3,Control,FIB3
-0.18592002844156016,Fibroblast 3,Control,FIB3
-0.11533886849948616,Fibroblast 3,Control,FIB3
-0.13406973812654557,Fibroblast 3,Control,FIB3
-0.08814201946169212,Fibroblast 3,Control,FIB3
-0.09854025325931046,Fibroblast 2,Control,FIB2
-0.05486824876208212,Fibroblast 2,Control,FIB2
-0.194401091684116,Fibroblast 3,Control,FIB3
-0.07937444900621084,Fibroblast 3,Control,FIB3
-0.1660409805361101,Fibroblast 2,Control,FIB2
0.013736878095368586,Fibroblast 3,Control,FIB3
-0.17591174029781725,Fibroblast 1,Control,FIB1
-0.11457953804954615,Fibroblast 2,Control,FIB2
-0.07072515318384391,Fibroblast 2,Control,FIB2
-0.08883833035849659,Fibroblast 1,Control,FIB1
-0.16748216819791187,Fibroblast 2,Control,FIB2
-0.10169474620746036,Fibroblast 3,Control,FIB3
-0.1431922753006511,Fibroblast 3,Control,FIB3
-0.06350019541579333,Fibroblast 2,Control,FIB2
-0.060948660453171294,Fibroblast 3,Control,FIB3
-0.13314925574054762,Fibroblast 1,Control,FIB1
-0.09077385249717274,Fibroblast 3,Control,FIB3
-0.17340526365475795,Fibroblast 3,Control,FIB3
-0.0785122696866188,Fibroblast 3,Control,FIB3
0.03546735491089922,Fibroblast 2,Control,FIB2
-0.06527835904141842,Fibroblast 2,Control,FIB2
-0.08432328288346176,Fibroblast 1,Control,FIB1
-0.0924026615008613,Fibroblast 1,Control,FIB1
-0.11122508083346408,Fibroblast 3,Control,FIB3
-0.007313001174739781,Fibroblast 3,Control,FIB3
-0.11335379485082975,Fibroblast 3,Control,FIB3
-0.06451681801269099,Fibroblast 1,Control,FIB1
-0.02736734609306145,Fibroblast 1,Control,FIB1
-0.10357027108502752,Fibroblast 2,Control,FIB2
-0.12608330580813598,Fibroblast 1,Control,FIB1
-0.031513407237732674,Fibroblast 1,Control,FIB1
-0.02716331481761866,Fibroblast 3,Control,FIB3
-0.16547359257526117,Fibroblast 1,Control,FIB1
-0.07321864660804075,Fibroblast 2,Control,FIB2
-0.09025303959145162,Fibroblast 2,Control,FIB2
