embryonic_score,celltype,condition,x_group,color_cond
-0.0037723263502003456,All fibroblasts,Control,CTRL,Control
-0.10048196008581749,All fibroblasts,Control,CTRL,Control
-0.08529050308452363,All fibroblasts,Control,CTRL,Control
-0.14544818322071915,All fibroblasts,Control,CTRL,Control
-0.22024154635721935,All fibroblasts,Control,CTRL,Control
-0.046861973608823757,All fibroblasts,Control,CTRL,Control
-0.08026935800429769,All fibroblasts,Control,CTRL,Control
-0.0671660281241938,All fibroblasts,Control,CTRL,Control
-0.11148617426756219,All fibroblasts,Control,CTRL,Control
-0.01630209131152971,All fibroblasts,Control,CTRL,Control
-0.07644163455544421,All fibroblasts,Control,CTRL,Control
-0.0556877366326298,All fibroblasts,Control,CTRL,Control
0.02186877347749573,All fibroblasts,Control,CTRL,Control
-0.11248694806773499,All fibroblasts,Control,CTRL,Control
-0.05729480290090112,All fibroblasts,Control,CTRL,Control
-0.045657681512668975,All fibroblasts,Control,CTRL,Control
-0.0242127963229903,All fibroblasts,Control,CTRL,Control
0.004891805921663092,All fibroblasts,Control,CTRL,Control
-0.052712668374447796,All fibroblasts,Control,CTRL,Control
-0.040436236354205464,All fibroblasts,Control,CTRL,Control
-0.13160082044088076,All fibroblasts,Control,CTRL,Control
-0.11138920605209676,All fibroblasts,Control,CTRL,Control
-0.02348700180561509,All fibroblasts,Control,CTRL,Control
-0.08774618013973742,All fibroblasts,Control,CTRL,Control
-0.02133914643214327,All fibroblasts,Control,CTRL,Control
-0.11289347411727843,All fibroblasts,Control,CTRL,Control
-0.1584312648778119,All fibroblasts,Control,CTRL,Control
-0.09379749761480895,All fibroblasts,Control,CTRL,Control
-0.05069381166104068,All fibroblasts,Control,CTRL,Control
-0.12650535791074374,All fibroblasts,Control,CTRL,Control
-0.06702837458262724,All fibroblasts,Control,CTRL,Control
-0.12318027290846674,All fibroblasts,Control,CTRL,Control
-0.16360533341652336,All fibroblasts,Control,CTRL,Control
-0.09852956062763545,All fibroblasts,Control,CTRL,Control
-0.03770616878376271,All fibroblasts,Control,CTRL,Control
-0.13628401754385402,All fibroblasts,Control,CTRL,Control
-0.16777690395018377,All fibroblasts,Control,CTRL,Control
-0.21148518205802835,All fibroblasts,Control,CTRL,Control
-0.14373604103473864,All fibroblasts,Control,CTRL,Control
-0.05501699011128646,All fibroblasts,Control,CTRL,Control
-0.17361238683848607,All fibroblasts,Control,CTRL,Control
-0.13103283004510446,All fibroblasts,Control,CTRL,Control
-0.024928772794515483,All fibroblasts,Control,CTRL,Control
-0.022403553596245948,All fibroblasts,Control,CTRL,Control
-0.11442400623052096,All fibroblasts,Control,CTRL,Control
-0.005610418106994287,All fibroblasts,Control,CTRL,Control
0.004432236057293277,All fibroblasts,Control,CTRL,Control
-0.23282712522730922,All fibroblasts,Control,CTRL,Control
-0.09638905653547102,All fibroblasts,Control,CTRL,Control
-0.06465327147801632,All fibroblasts,Control,CTRL,Control
-0.013778266689015196,All fibroblasts,Control,CTRL,Control
-0.21438230049319326,All fibroblasts,Control,CTRL,Control
-0.10326777938678192,All fibroblasts,Control,CTRL,Control
0.0014455042760417001,All fibroblasts,Control,CTRL,Control
-0.06521995153621497,All fibroblasts,Control,CTRL,Control
-0.13467149327510058,All fibroblasts,Control,CTRL,Control
0.004214940877425641,All fibroblasts,Control,CTRL,Control
-0.1463146131383674,All fibroblasts,Control,CTRL,Control
-0.0009911872292488744,All fibroblasts,Control,CTRL,Control
-0.22036144103827504,All fibroblasts,Control,CTRL,Control
-0.058782944054347835,All fibroblasts,Control,CTRL,Control
-0.11947916698574101,All fibroblasts,Control,CTRL,Control
0.010670823888747462,All fibroblasts,Control,CTRL,Control
-0.114115924145847,All fibroblasts,Control,CTRL,Control
-0.12249564629329204,All fibroblasts,Control,CTRL,Control
-0.06520403433595497,All fibroblasts,Control,CTRL,Control
-0.11881199852410179,All fibroblasts,Control,CTRL,Control
0.034387887893011934,All fibroblasts,Control,CTRL,Control
-0.12458305440323104,All fibroblasts,Control,CTRL,Control
0.0738718750759813,All fibroblasts,Control,CTRL,Control
-0.07753606448333279,All fibroblasts,Control,CTRL,Control
-0.1440894809659366,All fibroblasts,Control,CTRL,Control
-0.18592002844156016,All fibroblasts,Control,CTRL,Control
-0.11533886849948616,All fibroblasts,Control,CTRL,Control
-0.13406973812654557,All fibroblasts,Control,CTRL,Control
-0.08814201946169212,All fibroblasts,Control,CTRL,Control
-0.09854025325931046,All fibroblasts,Control,CTRL,Control
-0.05486824876208212,All fibroblasts,Control,CTRL,Control
-0.194401091684116,All fibroblasts,Control,CTRL,Control
-0.07937444900621084,All fibroblasts,Control,CTRL,Control
-0.1660409805361101,All fibroblasts,Control,CTRL,Control
0.013736878095368586,All fibroblasts,Control,CTRL,Control
-0.17591174029781725,All fibroblasts,Control,CTRL,Control
-0.11457953804954615,All fibroblasts,Control,CTRL,Control
-0.07072515318384391,All fibroblasts,Control,CTRL,Control
-0.08883833035849659,All fibroblasts,Control,CTRL,Control
-0.16748216819791187,All fibroblasts,Control,CTRL,Control
-0.10169474620746036,All fibroblasts,Control,CTRL,Control
-0.1431922753006511,All fibroblasts,Control,CTRL,Control
-0.06350019541579333,All fibroblasts,Control,CTRL,Control
-0.060948660453171294,All fibroblasts,Control,CTRL,Control
-0.13314925574054762,All fibroblasts,Control,CTRL,Control
-0.09077385249717274,All fibroblasts,Control,CTRL,Control
-0.17340526365475795,All fibroblasts,Control,CTRL,Control
-0.0785122696866188,All fibroblasts,Control,CTRL,Control
0.03546735491089922,All fibroblasts,Control,CTRL,Control
-0.06527835904141842,All fibroblasts,Control,CTRL,Control
-0.08432328288346176,All fibroblasts,Control,CTRL,Control
-0.0924026615008613,All fibroblasts,Control,CTRL,Control
-0.11122508083346408,All fibroblasts,Control,CTRL,Control
-0.007313001174739781,All fibroblasts,Control,CTRL,Control
-0.11335379485082975,All fibroblasts,Control,CTRL,Control
-0.06451681801269099,All fibroblasts,Control,CTRL,Control
-0.02736734609306145,All fibroblasts,Control,CTRL,Control
-0.10357027108502752,All fibroblasts,Control,CTRL,Control
-0.12608330580813598,All fibroblasts,Control,CTRL,Control
-0.031513407237732674,All fibroblasts,Control,CTRL,Control
-0.02716331481761866,All fibroblasts,Control,CTRL,Control
-0.16547359257526117,All fibroblasts,Control,CTRL,Control
-0.07321864660804075,All fibroblasts,Control,CTRL,Control
-0.09025303959145162,All fibroblasts,Control,CTRL,Control
-0.25336866903724886,All fibroblasts,Control,CTRL,Control
-0.09293056455144443,All fibroblasts,Control,CTRL,Control
-0.10230605323819504,All fibroblasts,Control,CTRL,Control
-0.17351710582079183,All fibroblasts,Control,CTRL,Control
0.010860139341535839,All fibroblasts,Control,CTRL,Control
-0.06329453133409577,All fibroblasts,Control,CTRL,Control
-0.11361924721457298,All fibroblasts,Control,CTRL,Control
-0.14803666261036355,All fibroblasts,Control,CTRL,Control
-0.08237588764384832,All fibroblasts,Control,CTRL,Control
-0.03431587517124047,All fibroblasts,Control,CTRL,Control
-0.040810585975404864,All fibroblasts,Control,CTRL,Control
-0.19082914690676012,All fibroblasts,Control,CTRL,Control
-0.05850289057118349,All fibroblasts,Control,CTRL,Control
-0.062016640640739785,All fibroblasts,Control,CTRL,Control
-0.1039040744989547,All fibroblasts,Control,CTRL,Control
-0.03159981619523319,All fibroblasts,Control,CTRL,Control
-0.056501460054770226,All fibroblasts,Control,CTRL,Control
-0.0529782315936492,All fibroblasts,Control,CTRL,Control
-0.011884079368968802,All fibroblasts,Control,CTRL,Control
-0.08931733763420296,All fibroblasts,Control,CTRL,Control
-0.033677802276933434,All fibroblasts,Control,CTRL,Control
-0.12997381242921013,All fibroblasts,Control,CTRL,Control
-0.06232987889739658,All fibroblasts,Control,CTRL,Control
-0.08138037280041027,All fibroblasts,Control,CTRL,Control
-0.13471510141565166,All fibroblasts,Control,CTRL,Control
0.07966353898094862,All fibroblasts,Control,CTRL,Control
0.004072543477503231,All fibroblasts,Control,CTRL,Control
-0.24058436162788188,All fibroblasts,Control,CTRL,Control
0.0007205149950365031,All fibroblasts,Control,CTRL,Control
-0.07586939377897597,All fibroblasts,Control,CTRL,Control
0.02706650918769287,All fibroblasts,Control,CTRL,Control
-0.15143442295141474,All fibroblasts,Control,CTRL,Control
-0.12511897990244675,All fibroblasts,Control,CTRL,Control
0.010699208104007013,All fibroblasts,Control,CTRL,Control
-0.12227876495965423,All fibroblasts,Control,CTRL,Control
-0.05935887140904106,All fibroblasts,Control,CTRL,Control
-0.11849095165021963,All fibroblasts,Control,CTRL,Control
-0.05215888323724237,All fibroblasts,Control,CTRL,Control
-0.029543027621325095,All fibroblasts,Control,CTRL,Control
-0.14716934258390113,All fibroblasts,Control,CTRL,Control
-0.033561180116442504,All fibroblasts,Control,CTRL,Control
-0.04584108245353846,All fibroblasts,Control,CTRL,Control
-0.056218087007839215,All fibroblasts,Control,CTRL,Control
0.019075402426705364,All fibroblasts,Control,CTRL,Control
-0.05024973866818071,All fibroblasts,Control,CTRL,Control
-0.08174304659666656,All fibroblasts,Control,CTRL,Control
-0.180900638512835,All fibroblasts,Control,CTRL,Control
-0.0872704816462222,All fibroblasts,Control,CTRL,Control
-0.06378657112837798,All fibroblasts,Control,CTRL,Control
-0.08338631934784604,All fibroblasts,Control,CTRL,Control
-0.14516916286716924,All fibroblasts,Control,CTRL,Control
-0.0895055877252949,All fibroblasts,Control,CTRL,Control
