"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Fibroblast 4","Fibroblast 4","Tgfb2","TGFbR1_R2",0.000544250040924906,0.01,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350","Control",-0.148467346393205,27.681660899654,38.9312977099237,0.00476425191988331,-0.516085523235574,78.5467128027682,94.6564885496183,2.15633290393328e-13
"Fibroblast 4","keratinocytes_basal","Tgfb2","TGFbR1_R2",0.000280250873838394,0.01,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350","Control",-0.148467346393205,27.681660899654,38.9312977099237,0.00476425191988331,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Tgfb2","ACVR1_TGFbR",0.00191188314370609,0,"TGFB2_ACVR1_TGFBR1","Tgfb2  - (Acvr1+Tgfbr1)","TGFb","Secreted Signaling","PMID: 29376829","Control",-0.148467346393205,27.681660899654,38.9312977099237,0.00476425191988331,-0.224209501359884,64.5328719723183,65.6488549618321,0.020848265080955
"keratinocytes_basal","Fibroblast 4","Areg","Egfr",0.00258716684998572,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","Control",-0.158648792720802,23.8789237668161,30.9492847854356,9.79114225290876e-05,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Areg","Egfr",0.00140606439968024,0,"AREG_EGFR","Areg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","Control",-0.158648792720802,23.8789237668161,30.9492847854356,9.79114225290876e-05,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Fgf7","Fgfr1",0.00851152328168786,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358","Control",-0.212687096174987,31.1418685121107,51.1450381679389,2.03022213156109e-05,0.438134629748972,89.6193771626298,71.7557251908397,1.52350535447646e-09
"Fibroblast 4","keratinocytes_basal","Fgf7","Fgfr1",0.00221900649463761,0,"FGF7_FGFR1","Fgf7  - Fgfr1","FGF","Secreted Signaling","PMC: 4393358","Control",-0.212687096174987,31.1418685121107,51.1450381679389,2.03022213156109e-05,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Fgf7","Fgfr2",0.00151558559760963,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358","Control",-0.212687096174987,31.1418685121107,51.1450381679389,2.03022213156109e-05,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Fgf7","Fgfr2",0.00515322180076799,0,"FGF7_FGFR2","Fgf7  - Fgfr2","FGF","Secreted Signaling","PMC: 4393358","Control",-0.212687096174987,31.1418685121107,51.1450381679389,2.03022213156109e-05,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Igf1","ITGAV_ITGB3",0.00014656130101108,0,"IGF1_ITGAV_ITGB3","Igf1  - (Itgav+Itgb3)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","Control",-0.0879435715154635,12.4567474048443,28.2442748091603,0.000137891311523048,0.123489204061955,41.522491349481,25.1908396946565,0.00187532111970317
"Fibroblast 4","keratinocytes_basal","Igf1","ITGA6_ITGB4",0.00123337281253706,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","Control",-0.0879435715154635,12.4567474048443,28.2442748091603,0.000137891311523048,0.246261703156235,76.1210762331839,55.6566970091027,4.12533641425225e-20
"Fibroblast 4","Fibroblast 4","Ccl2","Ackr1",0.00715565096335866,0,"CCL2_ACKR1","Ccl2  - Ackr1","CCL","Secreted Signaling","PMID: 26740381","Control",-0.825275295106217,51.5570934256055,78.6259541984733,4.72659395095877e-09,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Ccl7","Ackr1",0.00710558025606287,0,"CCL7_ACKR1","Ccl7  - Ackr1","CCL","Secreted Signaling","PMID: 26740381","Control",-0.921312509400623,50.8650519031142,80.9160305343512,7.63700380704948e-12,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Ccl8","Ackr1",0.00519900790173026,0,"CCL8_ACKR1","Ccl8  - Ackr1","CCL","Secreted Signaling","PMID: 26740381","Control",-1.13281220438225,39.4463667820069,72.5190839694656,7.95442974272897e-18,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Ccl11","Ackr1",0.00100130392837966,0,"CCL11_ACKR1","Ccl11  - Ackr1","CCL","Secreted Signaling","PMID: 26740381","Control",-0.494922351199312,5.19031141868512,39.6946564885496,2.86124397007823e-20,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Cxcl12","Ackr3",0.0116442179286628,0,"CXCL12_ACKR3","Cxcl12  - Ackr3","CXCL","Secreted Signaling","KEGG: mmu04060","Control",-0.279718134614172,39.1003460207612,54.9618320610687,0.00041980693884016,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Il6","IL6R_IL6ST",0.00920042813774972,0,"IL6_IL6R_IL6ST","Il6  - (Il6r+Il6st)","IL6","Secreted Signaling","KEGG: mmu04060","Control",-0.175989211140485,55.7093425605536,65.6488549618321,0.0454973105723899,-0.201810924132826,83.3910034602076,92.3664122137405,0.00179529492000305
"Fibroblast 4","keratinocytes_basal","Il6","IL6R_IL6ST",0.00259581146546442,0,"IL6_IL6R_IL6ST","Il6  - (Il6r+Il6st)","IL6","Secreted Signaling","KEGG: mmu04060","Control",-0.175989211140485,55.7093425605536,65.6488549618321,0.0454973105723899,0.0643239298415534,56.0538116591928,39.7919375812744,1.07202604723809e-05
"Fibroblast 4","Fibroblast 4","Lif","LIFR_IL6ST",0.000641517343377801,0,"LIF_LIFR_IL6ST","Lif  - (Lifr+Il6st)","LIFR","Secreted Signaling","KEGG: mmu04060","Control",-0.113682719299545,13.4948096885813,25.1908396946565,0.00245590235547023,-0.0614896581493417,66.9550173010381,64.5038167938931,0.0192750737013156
"Fibroblast 4","keratinocytes_basal","Lif","LIFR_IL6ST",0.000258538144935531,0,"LIF_LIFR_IL6ST","Lif  - (Lifr+Il6st)","LIFR","Secreted Signaling","KEGG: mmu04060","Control",-0.113682719299545,13.4948096885813,25.1908396946565,0.00245590235547023,0.0643239298415534,56.0538116591928,39.7919375812744,1.07202604723809e-05
"keratinocytes_basal","keratinocytes_basal","Ptn","Sdc1",0.0368059033137506,0,"PTN_SDC1","Ptn  - Sdc1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911","Control",-0.185874015743024,77.4663677130045,78.4135240572172,6.96886583865486e-05,0.1969794190922,89.4618834080718,80.6241872561769,4.30418626139149e-10
"keratinocytes_basal","Fibroblast 4","Ptn","Sdc2",0.0204852534070301,0,"PTN_SDC2","Ptn  - Sdc2","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911","Control",-0.185874015743024,77.4663677130045,78.4135240572172,6.96886583865486e-05,-0.299600833293604,47.4048442906574,70.2290076335878,1.07537416439418e-09
"keratinocytes_basal","Fibroblast 4","Ptn","ITGAV_ITGB3",0.00661462180367201,0,"PTN_ITGAV_ITGB3","Ptn  - (Itgav+Itgb3)","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911","Control",-0.185874015743024,77.4663677130045,78.4135240572172,6.96886583865486e-05,0.123489204061955,41.522491349481,25.1908396946565,0.00187532111970317
"keratinocytes_basal","keratinocytes_basal","Ptn","Ncl",0.0972208488558215,0,"PTN_NCL","Ptn  - Ncl","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911","Control",-0.185874015743024,77.4663677130045,78.4135240572172,6.96886583865486e-05,0.225336854399695,99.3273542600897,99.0897269180754,5.59430808646648e-15
"Fibroblast 4","keratinocytes_basal","Sema3b","NRP2_PLXNA2",0.000529361955746573,0,"SEMA3B_NRP2_PLXNA2","Sema3b  - (Nrp2+Plxna2)","SEMA3","Secreted Signaling","PMID: 27533782","Control",-0.232422347102532,10.0346020761246,38.9312977099237,5.1382051177079e-14,-0.179018338950126,17.4887892376682,31.2093628088427,1.00636555755724e-13
"Fibroblast 4","Fibroblast 4","Gas6","Axl",0.0232714881067927,0,"GAS6_AXL","Gas6  - Axl","GAS","Secreted Signaling","PMID: 27801848","Control",-0.712026720591757,42.9065743944637,77.0992366412214,2.88850679697404e-19,NA,NA,NA,NA
"Fibroblast 4","Fibroblast 4","Lgals9","P4hb",0.00568155485858289,0,"LGALS9_P4HB","Lgals9 - P4hb","GALECTIN","Secreted Signaling","PMID:21670307;uniprot","Control",-0.155847794655128,25.2595155709343,41.2213740458015,5.01424362807269e-05,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Col1a1","ITGA2_ITGB1",0.0396119168115131,0,"COL1A1_ITGA2_ITGB1","Col1a1  - (Itga2+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-0.998877904900162,93.4256055363322,99.236641221374,1.51023885233956e-10,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Col1a2","ITGA2_ITGB1",0.0432671542115726,0,"COL1A2_ITGA2_ITGB1","Col1a2  - (Itga2+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-1.23630758208638,94.8096885813149,100,1.8416009101045e-16,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Col6a1","ITGA2_ITGB1",0.0214261743401626,0,"COL6A1_ITGA2_ITGB1","Col6a1  - (Itga2+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-0.370264383086908,93.7716262975779,95.4198473282443,1.4510016877815e-06,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Col6a2","ITGA2_ITGB1",0.0183871435304662,0,"COL6A2_ITGA2_ITGB1","Col6a2  - (Itga2+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-0.236332814208222,93.4256055363322,93.8931297709924,0.000673701177627636,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Col6a3","ITGA2_ITGB1",0.0189643343329623,0,"COL6A3_ITGA2_ITGB1","Col6a3  - (Itga2+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-0.26007161397233,91.0034602076124,93.1297709923664,0.00134105979313413,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Fn1","ITGA3_ITGB1",0.00235953485188928,0,"FN1_ITGA3_ITGB1","Fn1  - (Itga3+Itgb1)","FN1","ECM-Receptor","KEGG: mmu04512","Control",-0.128210677815286,42.2145328719723,49.618320610687,0.0482425056790856,0.0626379999676262,43.3856502242152,31.2093628088427,1.45672682852921e-05
"Fibroblast 4","Fibroblast 4","Fn1","ITGA5_ITGB1",0.00493383218774259,0,"FN1_ITGA5_ITGB1","Fn1  - (Itga5+Itgb1)","FN1","ECM-Receptor","KEGG: mmu04512","Control",-0.128210677815286,42.2145328719723,49.618320610687,0.0482425056790856,0.233561872145555,72.6643598615917,50.381679389313,6.596275773141e-07
"Fibroblast 4","keratinocytes_basal","Lama4","ITGA2_ITGB1",0.00537944487797331,0,"LAMA4_ITGA2_ITGB1","Lama4  - (Itga2+Itgb1)","LAMININ","ECM-Receptor","KEGG: mmu04512","Control",-0.195226731550726,51.9031141868512,67.175572519084,0.000113497301474407,-0.178040617282305,19.0582959641256,29.6488946684005,9.91938734663206e-10
"Fibroblast 4","keratinocytes_basal","Lama4","ITGA3_ITGB1",0.00504917255130495,0,"LAMA4_ITGA3_ITGB1","Lama4  - (Itga3+Itgb1)","LAMININ","ECM-Receptor","KEGG: mmu04512","Control",-0.195226731550726,51.9031141868512,67.175572519084,0.000113497301474407,0.0626379999676262,43.3856502242152,31.2093628088427,1.45672682852921e-05
"Fibroblast 4","keratinocytes_basal","Thbs3","ITGA3_ITGB1",0.00102916354317199,0,"THBS3_ITGA3_ITGB1","Thbs3  - (Itga3+Itgb1)","THBS","ECM-Receptor","KEGG: mmu04512","Control",-0.0744649448037909,24.2214532871972,32.824427480916,0.0189616739839513,0.0626379999676262,43.3856502242152,31.2093628088427,1.45672682852921e-05
"Fibroblast 4","keratinocytes_basal","Col1a1","ITGA3_ITGB1",0.0372586640124758,0,"COL1A1_ITGA3_ITGB1","Col1a1  - (Itga3+Itgb1)","COLLAGEN","ECM-Receptor","KEGG: mmu04512","Control",-0.998877904900162,93.4256055363322,99.236641221374,1.51023885233956e-10,0.0626379999676262,43.3856502242152,31.2093628088427,1.45672682852921e-05
