"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Fibroblast 4","Fibroblast 4","Tgfb1","ACVR1_TGFbR",0.0138585970648087,0,"TGFB1_ACVR1_TGFBR1","Tgfb1  - (Acvr1+Tgfbr1)","TGFb","Secreted Signaling","PMID: 29376829","Expanded",0.120871838202314,77.8546712802768,64.1221374045801,0.0250130332103836,-0.224209501359884,64.5328719723183,65.6488549618321,0.020848265080955
"keratinocytes_basal","Fibroblast 4","Bmp7","ACVR1_BMPR2",0.00133328093432535,0,"BMP7_ACVR1_BMPR2","Bmp7  - (Acvr1+Bmpr2)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264","Expanded",0.110104938843341,50.1121076233184,31.5994798439532,7.32238306822743e-12,0.067666520515807,50.5190311418685,36.6412213740458,0.0416965301616944
"keratinocytes_basal","keratinocytes_basal","Bmp7","BMPR1A_ACVR2A",0.00169230468780763,0,"BMP7_BMPR1A_ACVR2A","Bmp7  - (Bmpr1a+Acvr2a)","BMP","Secreted Signaling","KEGG: mmu04350; PMID:26893264","Expanded",0.110104938843341,50.1121076233184,31.5994798439532,7.32238306822743e-12,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Inhba","ACVR1B_ACVR2A",0.00117591202609004,0,"INHBA_ACVR1B_ACVR2A","Inhba  - (Acvr1b+Acvr2a)","ACTIVIN","Secreted Signaling","KEGG: mmu04350","Expanded",0.585613644635093,73.0103806228374,48.0916030534351,5.20818680775884e-08,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Inhbb","ACVR1B_ACVR2A",0.000769969082834081,0,"INHBB_ACVR1B_ACVR2A","Inhbb  - (Acvr1b+Acvr2a)","ACTIVIN","Secreted Signaling","KEGG: mmu04350","Expanded",0.206424464170447,67.1280276816609,54.1984732824427,0.00246100603428205,NA,NA,NA,NA
"Fibroblast 4","keratinocytes_basal","Activin AB","ACVR1B_ACVR2A",0.000951581992024119,0,"INHBABB_ACVR1B_ACVR2A","Inhbabb  - (Acvr1b+Acvr2a)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","Expanded",0.39601905440277,70.0692041522491,51.1450381679389,0.00123052905807507,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD1_LRP5",0.000490692846958752,0,"WNT10A_FZD1_LRP5","Wnt10a  - (Fzd1+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD10_LRP5",0.000362530201370602,0,"WNT10A_FZD10_LRP5","Wnt10a  - (Fzd10+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD2_LRP5",0.000364314905503905,0,"WNT10A_FZD2_LRP5","Wnt10a  - (Fzd2+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD5_LRP5",0.000370268192778874,0,"WNT10A_FZD5_LRP5","Wnt10a  - (Fzd5+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD6_LRP5",0.000464981618548887,0,"WNT10A_FZD6_LRP5","Wnt10a  - (Fzd6+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt10a","FZD7_LRP5",0.000616362023940072,0,"WNT10A_FZD7_LRP5","Wnt10a  - (Fzd7+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.129116871995311,57.7354260089686,34.5903771131339,5.45638010945093e-13,0.129079756609741,42.7130044843049,23.5370611183355,4.85651810402209e-14
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD1_LRP5",0.00104285247680719,0,"WNT4_FZD1_LRP5","Wnt4  - (Fzd1+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD10_LRP5",0.000770723732972428,0,"WNT4_FZD10_LRP5","Wnt4  - (Fzd10+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD2_LRP5",0.000774514425889933,0,"WNT4_FZD2_LRP5","Wnt4  - (Fzd2+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD5_LRP5",0.000787158897227524,0,"WNT4_FZD5_LRP5","Wnt4  - (Fzd5+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD6_LRP5",0.000988273831668758,0,"WNT4_FZD6_LRP5","Wnt4  - (Fzd6+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,NA,NA,NA,NA
"keratinocytes_basal","keratinocytes_basal","Wnt4","FZD7_LRP5",0.00130951484935278,0,"WNT4_FZD7_LRP5","Wnt4  - (Fzd7+Lrp5)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","Expanded",0.121115139644989,79.1479820627803,69.4408322496749,0.000118349331582508,0.129079756609741,42.7130044843049,23.5370611183355,4.85651810402209e-14
