"identifier","comparison","group1","group2","mean.group1.","std.group1.","mean.group2.","std.group2.","Fold.change","log2FC","T.statistics","pvalue","padj1","correction1","padj2","correction2","s0","test","X.log10.p.value","display_name","gene_symbol"
"Col6a3~E9PWQ3","SQ vs LQ","SQ","LQ",23.60777551,0.082937195,23.76462378,0.010363206,0.89698249,-0.15684827232558,-0.148095601,0.056751484,0.080546648,"FDR correction BH",0.313985033,"permutation FDR (250 perm)",1,"Unpaired t-test",1.246022775,"Col6a3","Col6a3"
"Nusap1~Q9ERH4","SQ vs LQ","SQ","LQ",21.75305915,0.247841299,20.94462208,0.057797045,1.751313152,0.80843707488708,0.685143742,0.010884904,0.019609914,"FDR correction BH",0.014956031,"permutation FDR (250 perm)",1,"Unpaired t-test",1.963175396,"Nusap1","Nusap1"
"Fn1~P11276","SQ vs LQ","SQ","LQ",26.69579483,0.203930986,27.34775032,0.009779792,0.636417104,-0.651955485609997,-0.569708541,0.010691184,0.01933204,"FDR correction BH",0.024267996,"permutation FDR (250 perm)",1,"Unpaired t-test",1.970974188,"Fn1","Fn1"
"Pdpn~Q62011","SQ vs LQ","SQ","LQ",21.55632911,0.285750976,20.54654071,0.079653736,2.013615731,1.00978839244339,0.834701568,0.008560188,0.016138239,"FDR correction BH",0.009037307,"permutation FDR (250 perm)",1,"Unpaired t-test",2.067516717,"Pdpn","Pdpn"
"Brca1~P48754","SQ vs LQ","SQ","LQ",19.7674454,0.068063346,16.97996531,0.675409993,6.904227938,2.78748009481726,1.883425021,0.004374892,0.009349312,"FDR correction BH",0.001039359,"permutation FDR (250 perm)",1,"Unpaired t-test",2.359032631,"Brca1","Brca1"
"Fn1~A0A087WR50","SQ vs LQ","SQ","LQ",21.95982593,0.091630717,22.45188684,0.058356172,0.711008687,-0.492060908298286,-0.45695881,0.003050973,0.006974603,"FDR correction BH",0.040328902,"permutation FDR (250 perm)",1,"Unpaired t-test",2.515561608,"Fn1","Fn1"
"Cdca2~Q14B71","SQ vs LQ","SQ","LQ",19.19087796,0.092169285,17.86956836,0.264255995,2.498928466,1.32130960361583,1.10302443,0.002615656,0.006165594,"FDR correction BH",0.004465818,"permutation FDR (250 perm)",1,"Unpaired t-test",2.582419435,"Cdca2","Cdca2"
"Col6a3~A0A087WS16","SQ vs LQ","SQ","LQ",18.41789208,0.157250129,19.5213063,0.150109273,0.465413763,-1.10341422080448,-0.95639592,0.001994934,0.004953614,"FDR correction BH",0.006542154,"permutation FDR (250 perm)",1,"Unpaired t-test",2.700071493,"Col6a3","Col6a3"
"Timp1~P12032","SQ vs LQ","SQ","LQ",22.52908577,0.244455101,20.94156762,0.170877407,3.005319027,1.58751814708979,1.311023629,0.001667764,0.004295136,"FDR correction BH",0.002740693,"permutation FDR (250 perm)",1,"Unpaired t-test",2.777865321,"Timp1","Timp1"
"Mki67~E9PVX6","SQ vs LQ","SQ","LQ",22.82708738,0.19858249,20.38429796,0.297051075,5.436919316,2.44278941866933,1.95008146,0.000640322,0.002100565,"FDR correction BH",0.000920042,"permutation FDR (250 perm)",1,"Unpaired t-test",3.193601515,"Mki67","Mki67"
"Col15a1~O35206","SQ vs LQ","SQ","LQ",18.30513323,0.348003682,21.37640229,0.073885634,0.118975048,-3.07126905833938,-2.453951192,0.000258388,0.001079983,"FDR correction BH",0.000418797,"permutation FDR (250 perm)",1,"Unpaired t-test",3.587727228,"Col15a1","Col15a1"
"Fbn1~Q61554","SQ vs LQ","SQ","LQ",23.04443213,0.173541677,24.69663345,0.016855461,0.318154336,-1.65220131124188,-1.470859169,0.000179332,0.000837909,"FDR correction BH",0.001960992,"permutation FDR (250 perm)",1,"Unpaired t-test",3.746342523,"Fbn1","Fbn1"
"Col3a1~P08121","SQ vs LQ","SQ","LQ",24.00871331,0.027828786,25.22989411,0.007105676,0.428931507,-1.22118080240848,-1.196873194,4.58e-07,5.52e-05,"FDR correction BH",0.003690738,"permutation FDR (250 perm)",1,"Unpaired t-test",6.338992736,"Col3a1","Col3a1"
"Col4a2~P08122","SQ vs LQ","SQ","LQ",24.39218767,0.01835078,25.89038365,0.01599884,0.353995767,-1.49819598589158,-1.472840994,1.05e-07,4.32e-05,"FDR correction BH",0.001950074,"permutation FDR (250 perm)",1,"Unpaired t-test",6.980875077,"Col4a2","Col4a2"
"Col4a1~P02463","SQ vs LQ","SQ","LQ",22.90347671,0.009148439,24.52810621,0.015724716,0.324293161,-1.62462949568637,-1.603995831,2.36e-08,2.09e-05,"FDR correction BH",0.001577427,"permutation FDR (250 perm)",1,"Unpaired t-test",7.627554935,"Col4a1","Col4a1"
