"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","27/417","322/28943",2.63640999203503e-13,3.76214024698546e-10,2.9250602878284e-10,"Dpt/Ntng2/Col11a1/Col27a1/Eln/Col28a1/Ltbp4/Lum/Spock2/Mmp2/Col4a1/Comp/Agt/Colq/Adamts15/Mmp8/Mmp27/Mmp3/Ramp2/Vtn/Col23a1/Gfap/Flrt2/Adamts1/Smoc2/Col11a2/Hpse2",27
"GO:0043062","extracellular structure organization","27/417","323/28943",2.83932366826513e-13,3.76214024698546e-10,2.9250602878284e-10,"Dpt/Ntng2/Col11a1/Col27a1/Eln/Col28a1/Ltbp4/Lum/Spock2/Mmp2/Col4a1/Comp/Agt/Colq/Adamts15/Mmp8/Mmp27/Mmp3/Ramp2/Vtn/Col23a1/Gfap/Flrt2/Adamts1/Smoc2/Col11a2/Hpse2",27
"GO:0045229","external encapsulating structure organization","27/417","324/28943",3.0569937001507e-13,3.76214024698546e-10,2.9250602878284e-10,"Dpt/Ntng2/Col11a1/Col27a1/Eln/Col28a1/Ltbp4/Lum/Spock2/Mmp2/Col4a1/Comp/Agt/Colq/Adamts15/Mmp8/Mmp27/Mmp3/Ramp2/Vtn/Col23a1/Gfap/Flrt2/Adamts1/Smoc2/Col11a2/Hpse2",27
"GO:0035458","cellular response to interferon-beta","12/417","57/28943",2.69403484834066e-11,2.48659416501843e-08,1.93332448195394e-08,"Ifi208/Ifi207/Ifi205/Gbp6/Oas1g/Tgtp1/Tgtp2/Ifi47/Gm4951/F830016B08Rik/Iigp1/Ifit3",12
"GO:0035456","response to interferon-beta","12/417","65/28943",1.38292255689976e-10,1.02115001601478e-07,7.93943118455926e-08,"Ifi208/Ifi207/Ifi205/Gbp6/Oas1g/Tgtp1/Tgtp2/Ifi47/Gm4951/F830016B08Rik/Iigp1/Ifit3",12
"GO:0006820","anion transport","28/417","500/28943",1.27763141083354e-09,7.73653957273131e-07,6.01515179758176e-07,"Agtr2/Clca3a1/Clca3a2/Pla2g5/Slc6a12/Slc4a5/Ceacam1/Slc1a5/Slco2b1/Fxyd1/Slc22a18/Ttyh1/Avpr1a/Nat3/Ces1a/Ces1d/Ces1f/Slc7a2/Agt/Car7/Stc2/Wnk4/Gfap/Trpv1/Edn1/Tg/Slc26a8/Slc6a7",28
"GO:0010876","lipid localization","27/417","470/28943",1.4668411974301e-09,7.73653957273131e-07,6.01515179758176e-07,"Gulp1/Ren1/Nr1h3/Agtr2/Pla2g5/Atp8a1/Cidec/Ceacam1/Apoc1/Slco2b1/Pnpla2/Lpl/Ces1a/Ces1d/Ces1f/Agt/Plscr2/Eepd1/Wnk4/Acsl6/Abca8a/Npc1l1/Edn1/Gpihbp1/Adipoq/Apod/C3",27
"GO:1905952","regulation of lipid localization","17/417","187/28943",2.13606022751106e-09,9.85791794996355e-07,7.66452136897719e-07,"Ren1/Nr1h3/Agtr2/Atp8a1/Apoc1/Pnpla2/Lpl/Ces1a/Ces1d/Ces1f/Agt/Eepd1/Acsl6/Abca8a/Edn1/Adipoq/C3",17
"GO:0006631","fatty acid metabolic process","26/417","453/28943",3.02787953871573e-09,1.24210347299316e-06,9.65734210769332e-07,"Fmo1/Fmo2/Slc45a3/Irs1/Olah/Nr1h3/Ptgds/Pla2g5/Ppargc1a/Ceacam1/Apoc1/Acsm3/Cyp2f2/Avpr1a/Ggt5/Lpl/Ces1a/Ces1d/Ces1f/Agt/Ces2g/Acsl6/Edn1/Akr1c14/Adipoq/C3",26
"GO:0008217","regulation of blood pressure","18/417","226/28943",5.93884782377796e-09,2.19262261653882e-06,1.70476189636237e-06,"Atp1a2/Ren1/Agtr2/Rarres2/Slc4a5/Klk1b24/Adm/Avpr1a/Trhde/Tbxa2r/Npy1r/Agt/Gch1/Ramp2/Trpv1/Edn1/Nampt/Adipoq",18
