"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","88/512","369/28943",2.15114884048676e-73,8.17866789153068e-70,6.65044646790487e-70,"Sgo2a/Cenpf/Nsl1/Nek2/Nuf2/Kif14/Spc25/Fam83d/Ncaph/Ube2c/Kif18a/Bub1b/Knl1/Oip5/Nusap1/Knstrn/Bub1/Kif4/Pmf1/Cenpe/Ect2/Ndc1/Cenps/Kif2c/Cdc20/Cdca8/Ccne2/Smc2/Brca2/Ncapg/Kntc1/Tacc3/Cit/Rad18/Mad2l1/Ncapd2/Fancd2/Prc1/Mki67/Plk1/Kif22/Cenpw/Fbxo5/Cenpn/Ankle1/Cdt1/Ska3/Dlgap5/Esco2/Cdca2/Ttk/Kif23/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Brca1/Kif18b/Brip1/Haspin/Spag5/Eme1/Aurkb/Cenph/Ccnb1/Trip13/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Recql4/Espl1/Mis18a/Rmi2/Sgo1/Ddx11/Ndc80/Kifc5b/Cenpq/Chtf18/Ska1/Incenp/Fen1/Cdca5/Kif11",88
"GO:0000280","nuclear division","95/512","478/28943",2.10000699421e-71,3.99211329599321e-68,3.24616870631304e-68,"Mybl1/Sgo2a/Nsl1/Nek2/Nuf2/Kif14/Aspm/Suv39h2/Tpx2/Spc25/Mastl/Mybl2/Ncaph/Ube2c/Cdc25b/Kif18a/Aurka/Bub1b/Rad51/Nusap1/Knstrn/Bub1/Cenpe/Ndc1/Cenps/Rad54l/Kif2c/Cdc20/Cdca8/Ccne2/Rad54b/Smc2/Brca2/Chek2/Ncapg/Ereg/Kntc1/Tacc3/Cit/Rad51ap1/Mad2l1/Ncapd2/Fancd2/Prc1/Ube2s/Mki67/Plk1/Kif22/Fbxo5/Dnmt3l/Ankle1/Cdt1/Fanca/Ccsap/Esco2/Bora/Cdca2/Chek1/Ttk/Kif23/Topbp1/Ccnb2/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Cntd1/Kif18b/Brip1/Haspin/Fignl1/Spag5/Eme1/Aurkb/Ripor2/Ccnb1/Trip13/Cks2/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Espl1/Sgo1/Ndc80/Kifc5b/Chtf18/Kifc1/Kif20b/Incenp/Cdca5/Kif11",95
"GO:0098813","nuclear chromosome segregation","74/512","306/28943",4.76437165409315e-62,6.03804700962072e-59,4.90981036774442e-59,"Sgo2a/Cenpf/Nsl1/Nek2/Nuf2/Kif14/Spc25/Fam83d/Ncaph/Ube2c/Kif18a/Bub1b/Knl1/Nusap1/Knstrn/Bub1/Kif4/Cenpe/Ect2/Ndc1/Cenps/Kif2c/Cdc20/Cdca8/Ccne2/Smc2/Brca2/Ncapg/Kntc1/Tacc3/Cit/Mad2l1/Ncapd2/Fancd2/Prc1/Plk1/Kif22/Fbxo5/Ankle1/Cdt1/Esco2/Ttk/Kif23/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Kif18b/Brip1/Haspin/Spag5/Eme1/Aurkb/Ccnb1/Trip13/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Recql4/Espl1/Rmi2/Sgo1/Ddx11/Ndc80/Kifc5b/Cenpq/Incenp/Fen1/Cdca5/Kif11",74
"GO:0140014","mitotic nuclear division","70/512","309/28943",1.51872211561332e-56,1.44354537089046e-53,1.17381232988324e-53,"Sgo2a/Nsl1/Nek2/Nuf2/Kif14/Tpx2/Spc25/Mybl2/Ncaph/Ube2c/Kif18a/Aurka/Bub1b/Nusap1/Knstrn/Bub1/Cenpe/Kif2c/Cdc20/Cdca8/Smc2/Chek2/Ncapg/Ereg/Kntc1/Tacc3/Cit/Mad2l1/Ncapd2/Prc1/Ube2s/Mki67/Plk1/Kif22/Fbxo5/Cdt1/Ccsap/Esco2/Bora/Cdca2/Chek1/Ttk/Kif23/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Kif18b/Haspin/Spag5/Aurkb/Ripor2/Ccnb1/Trip13/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Espl1/Sgo1/Ndc80/Kifc5b/Kifc1/Kif20b/Incenp/Cdca5/Kif11",70
"GO:0006260","DNA replication","66/512","282/28943",2.65187642588382e-54,2.01648683424206e-51,1.63969706585701e-51,"Mcm3/Mcm6/Dtl/Bard1/Mcm10/Mcm8/Rad51/Gins1/Pola1/Ccna2/Cenps/Rpa2/Nasp/Mms22l/Ccne2/Orc1/Poln/Dbf4/Pole/Brca2/Rfc3/Ereg/Mcm7/Rfc5/Il6/Mcm2/Pold1/Ticrr/Blm/E2f8/Lig1/Prim1/E2f7/Timeless/Fbxo5/Cdk1/Mcm5/Gins2/Cdt1/Wdhd1/Esco2/Traip/Topbp1/Pif1/Pclaf/Cdc6/Brca1/Atad5/Eme1/Gmnn/Rrm2/Pole2/Gen1/Dscc1/Tonsl/Recql4/Mcm4/Chaf1b/Polq/Cdc45/Rmi2/Chaf1a/Ddx11/Chtf18/Fen1/Fam111a",66
"GO:0000819","sister chromatid segregation","60/512","219/28943",7.58596184539941e-54,4.80697115603476e-51,3.90876665612949e-51,"Sgo2a/Nsl1/Nek2/Nuf2/Kif14/Spc25/Ncaph/Ube2c/Kif18a/Bub1b/Nusap1/Knstrn/Bub1/Cenpe/Kif2c/Cdc20/Cdca8/Smc2/Ncapg/Kntc1/Tacc3/Cit/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Fbxo5/Cdt1/Esco2/Ttk/Kif23/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Kif18b/Haspin/Spag5/Aurkb/Ccnb1/Trip13/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Recql4/Espl1/Rmi2/Sgo1/Ddx11/Ndc80/Kifc5b/Incenp/Fen1/Cdca5/Kif11",60
"GO:0000070","mitotic sister chromatid segregation","56/512","190/28943",2.90223575516892e-52,1.57632862016461e-49,1.28178442299716e-49,"Sgo2a/Nsl1/Nek2/Nuf2/Kif14/Spc25/Ncaph/Ube2c/Kif18a/Bub1b/Nusap1/Knstrn/Bub1/Cenpe/Kif2c/Cdc20/Cdca8/Smc2/Ncapg/Kntc1/Tacc3/Cit/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Fbxo5/Cdt1/Esco2/Ttk/Kif23/Spc24/Zwilch/Cdc6/Spdl1/Pttg1/Birc5/Kif18b/Haspin/Spag5/Aurkb/Ccnb1/Trip13/Cenpk/Ncapg2/Gen1/Dscc1/Racgap1/Espl1/Sgo1/Ndc80/Kifc5b/Incenp/Cdca5/Kif11",56
"GO:0044772","mitotic cell cycle phase transition","73/512","451/28943",5.14250981511349e-48,2.44397778963269e-45,1.98730938513004e-45,"Cenpf/Dtl/Nuf2/Bard1/Kif14/Spc25/Rbl1/Mastl/Ube2c/Cdc25b/Bub1b/Bub1/Ccna2/Cenpe/Cks1b/Iqgap3/Sass6/Cdkn2c/Rpa2/Nasp/Cdc20/Cdca8/Clspn/Ccne2/Stil/Orc1/Dbf4/Abcb1a/Abcb1b/Pole/Chek2/Kntc1/Tacc3/Cit/Foxm1/Mad2l1/Ticrr/Blm/Ube2s/Plk1/Hmga2/E2f7/Fbxo5/Cdk1/Cdt1/Chek1/Ttk/Topbp1/Ccnb2/Spc24/Zwilch/Cdc6/Spdl1/Birc5/Brca1/Atad5/Haspin/Ccl2/Aurkb/Ccnb1/Trip13/Cks2/Rrm2/Rad51b/Gen1/Wnt10b/Ccnf/Ndc80/Tcf19/Lmnb1/Cdc25c/Incenp/Cdca5",73
"GO:0006261","DNA-templated DNA replication","48/512","153/28943",2.34647072925445e-46,9.91253523625045e-44,8.06033278575474e-44,"Mcm3/Mcm6/Bard1/Mcm10/Rad51/Gins1/Pola1/Cenps/Mms22l/Ccne2/Orc1/Poln/Dbf4/Pole/Brca2/Rfc3/Mcm7/Rfc5/Mcm2/Pold1/Ticrr/Blm/E2f8/Lig1/Prim1/E2f7/Timeless/Fbxo5/Mcm5/Gins2/Cdt1/Wdhd1/Traip/Topbp1/Cdc6/Brca1/Atad5/Eme1/Pole2/Gen1/Dscc1/Tonsl/Recql4/Mcm4/Polq/Cdc45/Chtf18/Fam111a",48
"GO:1901987","regulation of cell cycle phase transition","65/512","434/28943",1.38616841931879e-40,5.27021233025004e-38,4.28544910267294e-38,"Cenpf/Dtl/Nuf2/Bard1/Kif14/Spc25/Rbl1/Fam83d/Ube2c/Cdc25b/Aurka/Bub1b/Rad51/Bub1/Cenpe/Mlf1/Sass6/Cdkn2c/Rpa2/Cdc20/Cdca8/Clspn/Stil/Orc1/Dbf4/Brca2/Chek2/Kntc1/Mad2l1/Fancd2/Ticrr/Blm/Plk1/Hmga2/E2f7/Timeless/Fbxo5/Cdk1/Cdt1/Pbk/Chek1/Ttk/Topbp1/Spc24/Zwilch/Cdc6/Spdl1/Birc5/Brca1/Atad5/Haspin/Eme1/Ccl2/Aurkb/Ccnb1/Trip13/Rrm2/Rad51b/Gen1/Wnt10b/Ndc80/Lmnb1/Cdc25c/Incenp/Cdca5",65
